,LONGITUDE,LATITUDE,NUMBER_OF_PERSONS_INJURED
35435,-73.902336,40.63132,6
898990,-73.8054013,40.7499732,1
648621,-74.1309703,40.5688224,1
762229,-73.9455084,40.6491612,1
623471,-73.7578008,40.6087709,0
2336,-73.90596,40.776188,0
959504,-73.9261381,40.8350523,1
519935,-74.093958,40.610479,0
815576,-73.9943762,40.7583771,0
952241,-74.1604,40.6098062,0
34967,-73.8644,40.686207,0
314429,-73.9792777,40.6059418,0
858497,-73.9242472,40.6485398,0
377240,-73.9854869,40.7529363,1
32806,-73.95235,40.783936,0
256807,-73.8685775,40.8206242,0
819209,-73.8396576,40.7652999,0
477975,-73.8898999,40.8498695,0
553028,-73.9131663,40.825456,3
815204,-73.9474405,40.8177613,7
816967,-73.9556395,40.5878194,0
397199,-73.9185588,40.8684832,1
500703,-73.9258953,40.7058765,1
833167,-73.9568204,40.8050324,2
920515,-73.9007029,40.7561085,0
926103,-73.9828775,40.7667145,0
567320,-73.9503743,40.5994964,0
339000,-73.9949711,40.7206259,1
821249,-74.0083661,40.7503074,0
594208,-74.1047061,40.5828369,0
437920,-74.0019485,40.7364138,0
366565,-74.0220234,40.6309878,0
311047,-74.0993499,40.6124196,0
367314,-73.9917957,40.7263924,0
28635,-74.029366,40.634834,0
981136,-73.8800407,40.8952213,0
425656,-73.9102326,40.7529763,0
596484,-73.9058004,40.6482654,0
99013,-73.9336335,40.6716264,0
598406,-74.0152413,40.6231333,2
609661,-74.1058048,40.6037128,0
936903,-73.9560203,40.8188024,0
593416,-73.9751725,40.6147243,0
11447,-73.98069,40.61805,1
789197,-73.7298428,40.6655588,1
212771,-73.8746094,40.8241589,0
346326,-73.9346672,40.5878259,0
729343,-73.894388,40.6776301,1
575103,-73.8125811,40.6790054,2
671746,-73.9344002,40.7460347,0
1001332,-73.9897692,40.7190253,0
889624,-74.1179162,40.5591034,0
934002,-73.9278061,40.7698881,0
646515,-73.9483252,40.8089731,0
770531,-73.9765017,40.7883117,0
275559,-73.788995,40.5924102,0
692892,-73.9517808,40.731153,1
838174,-73.9883549,40.7200764,0
595844,-73.9199563,40.7047636,0
672560,-73.8069468,40.7073661,0
528684,-74.0414191,40.6218465,1
30355,-73.927536,40.677338,2
15857,-73.95934,40.81938,1
76974,-73.962982,40.5920737,0
85636,-73.9516237,40.7140668,1
297606,-74.0353516,40.613673,1
857177,-73.9826602,40.6860873,1
300594,-74.1951917,40.5199997,1
560419,-73.8729662,40.8280693,1
849582,-73.8968533,40.6757357,0
601926,-73.9136814,40.8322633,1
45822,-73.9397326,40.6600743,0
370954,-73.9338108,40.6564232,1
554947,-73.8558419,40.6687309,0
906993,-74.1334333,40.6035825,1
345631,-73.8417908,40.8280071,1
999052,-73.7942143,40.7249846,4
573410,-73.9342236,40.6653769,3
365522,-73.9897922,40.7572323,0
522502,-74.0053019,40.6603123,1
921982,-73.9439099,40.7116424,3
770762,-73.9804621,40.6812232,0
614412,-73.8359993,40.7193673,0
405155,-73.9084172,40.8526442,1
483486,-73.8443482,40.8996278,0
356019,-73.9159416,40.8395521,0
592181,-73.9483252,40.8089731,0
669651,-73.9801687,40.7222821,1
527406,-73.9493728,40.7140658,0
282554,-73.9998378,40.6551851,1
535830,-73.9852599,40.6862935,0
473621,-73.9400667,40.7896243,0
927798,-73.9160706,40.7699045,1
838123,-73.9983142,40.7608228,0
495179,-73.945374,40.5932799,1
367447,-74.0140002,40.64824,0
492632,-73.9219463,40.841044,0
553679,-73.8800407,40.8952213,1
303751,-73.983174,40.7503422,1
531434,-73.7913132,40.7527674,0
803866,-73.9685308,40.5763037,0
721078,-73.8609622,40.6697253,0
845987,-73.8280091,40.6940516,1
547637,-73.7708425,40.7575977,0
322833,-73.8616432,40.7324716,0
532796,-73.8367417,40.7182128,0
506553,-74.0247905,40.631506,1
467915,-73.9751095,40.7353901,0
361273,-73.9503743,40.5994964,1
459991,-73.9983142,40.7608228,3
885880,-73.8597598,40.7118451,0
492328,-73.9214796,40.7434822,0
485677,-73.9505542,40.5948715,0
515805,-73.9423154,40.657608,0
597617,-73.7856547,40.7322728,1
16807,-73.92179,40.66003,0
665812,-73.996196,40.7484385,1
59960,-73.9054924,40.680036,0
957654,-73.8167205,40.7063637,1
401468,-73.9905071,40.7305643,2
737784,-73.9905165,40.7402615,0
779314,-73.9392802,40.7861411,0
471341,-73.9281658,40.7142083,0
595885,-73.9101438,40.8402092,0
412521,-73.8473556,40.7336118,0
812202,-73.8931046,40.6618355,2
740466,-74.0161184,40.6153846,0
560704,-73.977196,40.7643229,0
405752,-73.9870003,40.6364952,0
27549,-73.810196,40.692078,2
994204,-73.9619826,40.7979885,0
844548,-73.7318253,40.6574938,0
451410,-73.9475224,40.6588759,0
969506,-73.8995726,40.7540627,0
82498,-73.8317333,40.8687708,0
770555,-73.8153241,40.8890207,0
289467,-73.9245872,40.7048244,0
508552,-73.9365694,40.6700416,0
415392,-73.9875052,40.5953425,0
231254,-73.9401036,40.836946,0
554663,-74.0092229,40.6306327,0
933608,-73.9569352,40.8175484,0
603417,-73.8545649,40.7005934,0
737161,-73.9103665,40.6373915,0
448612,-73.8533247,40.6601526,0
831761,-73.9545122,40.599037,1
796584,-73.8282324,40.6829686,2
937597,-73.9163215,40.6495279,2
699530,-73.9776872,40.763645,1
410252,-73.8957945,40.8642161,1
843058,-73.8710073,40.8750698,0
624689,-73.9684309,40.7647874,7
62542,-73.909857,40.6624125,3
367413,-73.7947323,40.7840499,0
87957,-73.9885593,40.7691169,0
813171,-73.9498624,40.681804,0
40196,-73.95866,40.72118,0
925796,-73.9484149,40.6093329,0
215110,-73.8841983,40.8507066,0
421483,-73.9787516,40.7199351,0
391069,-73.8348248,40.7212343,2
960789,-73.8247831,40.6674142,1
751447,-73.8281115,40.8431655,0
970353,-73.9493331,40.7851932,0
9620,-73.96002,40.64485,0
374801,-73.920348,40.8146278,1
676592,-73.9948477,40.6357602,1
68831,-73.9012465,40.8544772,1
662735,-73.9405619,40.7931872,1
803064,-73.8512103,40.7428447,1
919886,-73.737636,40.6792953,0
757871,-73.8045285,40.7214619,0
526835,-73.8013671,40.731516,1
252199,-74.1049514,40.5923364,0
261540,-73.910489,40.8307375,0
53881,-74.0974882,40.610261,0
744053,-73.8996069,40.7408961,0
983296,-73.9625151,40.7631141,1
451543,-73.9543925,40.8006591,0
691006,-74.0170629,40.6356257,0
60525,-73.9734846,40.6113698,0
315613,-73.8305454,40.7702225,0
682511,-73.9823908,40.6959519,0
277644,-73.7921647,40.6961801,0
430214,-73.801232,40.7165812,1
254532,-73.8558068,40.7349841,0
753969,-73.7604023,40.6024331,0
251586,-74.0122678,40.6535733,0
667035,-73.8878132,40.8221447,0
554894,-73.7447571,40.7533218,4
571731,-73.9923627,40.6896895,0
928080,-74.0957491,40.6105113,0
935136,-73.9915083,40.6879575,0
636794,-73.9242798,40.8071867,1
459084,-73.8051521,40.7278033,0
381364,-73.9477883,40.5908519,0
345961,-73.8913807,40.8617006,1
616101,-73.9705554,40.5972745,0
570246,-73.891911,40.8267939,0
262262,-73.7956894,40.7051481,1
560540,-73.9165445,40.6758395,1
826861,-73.8161286,40.8833445,2
609389,-73.9539551,40.8063543,0
375553,-73.7806252,40.6675224,1
617106,-73.9646162,40.6064789,0
984153,-73.9921609,40.7197501,1
349568,-73.8192301,40.7864459,0
853802,-73.942558,40.5935887,0
788375,-74.0001372,40.7583059,0
441477,-73.8982037,40.7169304,0
232764,-73.9945485,40.7707422,0
813093,-73.7053709,40.7480206,1
945523,-73.7837468,40.7353516,0
61270,-73.8486818,40.6596447,0
766963,-73.9492543,40.8316943,0
336190,-73.8700155,40.7484722,3
361407,-73.8875543,40.766359,1
765286,-73.9501595,40.7955879,0
325043,-74.0228769,40.619465,0
374997,-73.7858161,40.7707436,0
72187,-73.937918,40.7587064,2
472521,-73.9822173,40.7647355,0
423334,-73.8861828,40.8401058,1
38174,-73.93215,40.841187,0
841502,-73.8142714,40.7387357,2
769906,-73.9163145,40.6953519,1
402873,-73.9497292,40.6431849,1
754614,-73.9342674,40.69409,0
404002,-73.9589603,40.6327749,0
366297,-74.0145875,40.6476772,0
973329,-73.8558639,40.7036336,0
329928,-73.996771,40.725432,2
43026,-73.9325061,40.6278822,2
972089,-74.0024679,40.7303232,0
505027,-73.9160706,40.7699045,1
243471,-73.947889,40.5863751,0
996385,-73.9846967,40.6892276,1
542866,-73.7696658,40.7404635,1
517795,-73.7657139,40.7163939,0
894865,-73.9353802,40.6212167,0
567228,-73.9319581,40.7519729,1
285565,-74.0236552,40.6199616,0
1003513,-73.7423809,40.6655527,1
326485,-73.9616086,40.682374,0
486505,-73.9857885,40.5912224,0
301104,-73.81527,40.6659178,1
740472,-73.7392454,40.6673148,0
37490,-73.97606,40.751442,0
690236,-74.1294403,40.6336728,0
793324,-73.780089,40.6792635,0
8532,-73.85398,40.71823,0
429189,-73.8844668,40.6314996,0
984356,-73.7852218,40.6942103,2
7638,-73.86814,40.761112,0
659055,-73.9969484,40.7120705,0
259497,-73.987711,40.70127,0
30807,-73.82276,40.66454,0
877883,-73.8781619,40.838846,1
972465,-73.9276313,40.8377101,1
732098,-73.8997812,40.8865285,0
549020,-73.8792678,40.6794899,0
54214,-73.744737,40.6674319,1
212692,-73.9293625,40.6843816,1
1002873,-73.9189452,40.8303348,0
559185,-73.8842489,40.8361789,0
430186,-73.7866075,40.6961589,0
443511,-73.9131023,40.882812,0
217865,-73.8189131,40.6958547,0
436606,-73.9667757,40.7106275,0
781884,-74.0010155,40.6847335,0
553670,-73.9930954,40.7179222,1
97426,-73.7689269,40.768754,0
535167,-73.9234365,40.5837528,0
667868,-73.8421631,40.8286199,0
995670,-73.9716927,40.8045721,2
769602,-73.9494462,40.835811,2
268486,-73.990069,40.7408791,0
746483,-73.9489224,40.5862603,0
237727,-73.8334273,40.7453263,0
278284,-73.8896598,40.876976,0
289915,-74.1985759,40.5614509,0
428920,-73.8251018,40.6929686,0
43593,-73.7796686,40.6853781,0
249701,-73.9310421,40.6396757,2
822557,-73.9708287,40.7959573,1
244871,-74.0319549,40.6284712,0
486966,-73.9177042,40.8345141,0
867821,-73.8432452,40.7553365,1
46102,-73.9931034,40.6061164,0
214060,-73.7559804,40.7540593,1
984215,-73.9884952,40.7641132,0
261927,-73.8685066,40.7632592,0
640694,-73.9875432,40.7198321,0
689435,-73.9532241,40.7639012,0
29921,-73.967545,40.760254,0
782237,-73.8897736,40.6818006,3
538929,-73.9366363,40.6224004,0
5670,-73.95863,40.778225,0
607066,-73.9363409,40.7167794,0
25522,-74.01316,40.60562,0
557452,-73.951644,40.7109076,1
941684,-73.9848633,40.7841601,0
544345,-74.004927,40.7570213,0
628560,-74.0283499,40.6227987,0
79739,-73.9373965,40.7489156,0
640650,-74.1027158,40.58092,0
712701,-73.8076851,40.7539871,0
80369,-73.9686462,40.6219415,0
889765,-73.9726863,40.6874166,0
483492,-73.8140908,40.5901067,0
512047,-73.9254924,40.6694339,0
985027,-74.0017363,40.761391,0
789262,-73.9362321,40.8380775,0
356148,-73.9758464,40.6933597,1
339952,-73.9958098,40.57776,0
423941,-73.9441916,40.8146335,0
581472,-74.002147,40.6253795,0
92011,-73.9443762,40.6757932,0
241341,-73.9514971,40.6153892,0
534624,-73.7770865,40.6963056,0
40216,-73.99088,40.76593,0
966867,-73.8429742,40.6942158,1
281667,-73.9207095,40.6082027,0
854600,-73.9776766,40.7521198,0
519962,-73.9840615,40.5836273,1
436443,-73.9240187,40.6466787,0
945895,-73.9630763,40.6494399,1
94182,-73.9581797,40.7589677,0
95946,-73.9882,40.7185558,0
385596,-73.9350069,40.6827628,0
371462,-73.9996824,40.738552,2
253672,-73.9068066,40.8644259,0
864566,-73.9351455,40.8319794,1
427871,-73.9286595,40.5865954,0
101941,-73.9972816,40.6795011,0
764561,-73.9044338,40.7218434,0
270605,-74.0020778,40.7167311,0
662822,-73.8644784,40.8410869,0
16116,-73.99347,40.75219,0
764221,-73.8693881,40.6982547,0
474599,-73.8040782,40.7861217,1
840944,-73.7853511,40.7122849,0
557437,-73.9189434,40.8644625,0
671420,-73.8429742,40.6942158,0
879275,-73.9721549,40.7596804,0
25,-73.84805,40.734966,0
12752,-73.95687,40.71045,1
748132,-73.9250434,40.844422,1
597922,-73.9675326,40.6376139,0
638151,-73.7703999,40.7446461,0
246132,-73.8059498,40.6830976,0
43456,-73.9102443,40.6639499,0
648186,-73.9162934,40.7609461,0
494428,-73.9350899,40.5900768,0
236276,-73.8041508,40.716035,0
272243,-73.9487599,40.6432449,1
761105,-73.9968362,40.7205051,1
291318,-73.8280776,40.6660852,3
385111,-73.8356153,40.6615152,0
495654,-73.8286787,40.7165581,1
834690,-73.793339,40.7326766,1
221664,-73.876862,40.6941303,0
303326,-73.7794674,40.7004356,0
72209,-73.8976176,40.6781106,1
993373,-73.9165542,40.8438234,0
328810,-73.7950842,40.7858511,0
390503,-73.9589518,40.5821691,0
760499,-73.9895745,40.7415488,0
736037,-73.7739552,40.6998045,0
498528,-73.8362427,40.7227716,2
591920,-73.9780417,40.6848568,1
703074,-73.7936144,40.7672226,1
103513,-73.8543695,40.748739,0
254703,-74.0011515,40.762025,0
414945,-73.9945943,40.740443,0
436215,-73.890643,40.8201469,0
888758,-73.7679068,40.736341,0
702589,-73.9616807,40.7139004,0
103711,-73.8544923,40.8924774,0
801141,-73.7858047,40.6889963,3
753810,-73.789845,40.6930057,0
879037,-73.9948089,40.7184575,0
459133,-73.8172822,40.5856598,2
681518,-73.9524618,40.798243,0
491413,-74.0398159,40.614812,0
886061,-73.9424657,40.7132446,0
712307,-73.9660762,40.773773,0
569583,-73.993411,40.7728776,0
107121,-73.9312727,40.6326656,1
395360,-73.7469692,40.6947666,0
591091,-73.8977031,40.8456416,0
430858,-73.7469994,40.7321016,1
841724,-73.8273743,40.8305827,0
580960,-73.8810025,40.7418418,0
886912,-73.8847089,40.7437944,0
719626,-73.8313939,40.7176946,0
451311,-73.9735729,40.7794786,1
878149,-74.0894424,40.6076902,0
229243,-73.9032171,40.6951166,2
12122,-73.83406,40.65135,0
26016,-73.939125,40.621563,1
614951,-73.9822521,40.7895396,0
975364,-73.9046763,40.8726198,3
334038,-73.8308423,40.6817538,0
229794,-73.8179299,40.703319,0
453846,-73.9427678,40.605073,0
907432,-73.9978061,40.736035,0
439824,-73.9282648,40.8568082,1
237913,-73.8593216,40.8260438,1
373202,-73.8254559,40.7120013,0
484352,-73.9926041,40.7241363,0
39267,-74.19714,40.519127,2
581708,-74.1348091,40.5608278,1
34051,-73.77358,40.757645,0
360998,-73.9839983,40.7293696,0
217275,-74.141895,40.5708076,0
795269,-73.9044192,40.8703607,0
113862,-73.8948325,40.6678344,3
236070,-73.8280091,40.6940516,0
378822,-73.9448502,40.7173575,0
973186,-73.938118,40.7570322,0
283156,-73.8911057,40.8574269,0
552610,-73.978027,40.7294318,0
807851,-73.9835363,40.7300064,0
781077,-73.7757229,40.7778992,0
251114,-73.9496774,40.6784553,0
257431,-74.1304,40.5827584,0
372615,-73.748642,40.7015883,0
488959,-73.8562889,40.670403,4
375243,-73.9076597,40.8436876,0
852864,-73.9323639,40.5861006,0
299713,-73.9242976,40.83602,0
629576,-73.9945943,40.740443,0
557187,-73.7902153,40.7117175,0
12040,-73.96075,40.692425,1
473184,-73.8822143,40.6545182,0
29232,-73.90779,40.63622,1
491788,-74.0180605,40.6443254,0
529679,-74.0623951,40.5958505,2
753448,-74.1627224,40.5607752,2
734645,-73.8209867,40.8382472,0
8709,-73.85213,40.78863,0
439808,-73.7950842,40.7858511,0
434629,-73.8876057,40.8749566,1
628147,-73.9088487,40.6327214,0
