,LONGITUDE,LATITUDE,NUMBER_OF_PERSONS_INJURED
814544,-73.8446429,40.6807,0
552862,-73.774355,40.74989,0
946759,-73.9754511,40.7189463,0
507186,-73.8912714,40.6764305,0
230739,-73.9893318,40.6342584,2
308351,-73.9896203,40.7014547,0
455678,-73.9448493,40.7198636,0
289771,-73.8946594,40.7545825,0
612261,-73.7271043,40.6556162,0
602737,-74.0033903,40.6345388,1
365551,-73.8723427,40.8680141,0
980799,-73.9945485,40.7707422,0
271262,-73.7232034,40.7541077,0
863462,-73.8528004,40.7107715,1
853727,-73.9928968,40.7199725,0
439148,-73.9563571,40.6907986,0
626643,-73.8215565,40.7605337,0
436985,-73.8656593,40.8844875,0
966723,-73.9436055,40.6492783,0
640631,-73.9444241,40.8346811,0
594309,-73.9149698,40.8335872,0
644379,-73.9193623,40.8648086,0
544810,-74.0039287,40.7208537,0
569750,-74.1512571,40.6101467,0
668849,-73.8140794,40.6977347,0
353721,-73.7991783,40.7381399,0
768798,-73.9718684,40.7629631,0
355028,-73.9987154,40.7347834,0
243980,-73.9543399,40.7140707,0
389173,-73.9544246,40.7624116,0
641755,-73.996304,40.7533873,0
715418,-73.8342963,40.7202518,0
682828,-74.0068386,40.7078571,0
791935,-73.856731,40.7045623,0
588494,-74.1389164,40.6076884,1
996484,-73.9846738,40.7106047,0
349460,-74.0977203,40.5818137,0
778759,-73.8354369,40.7455241,0
675695,-73.9818929,40.7629678,0
519149,-73.977147,40.7387967,0
256064,-73.9007925,40.6765736,0
507774,-73.8825188,40.856112,0
600868,-73.9740638,40.7889892,0
910333,-73.9154723,40.7537927,0
656558,-74.0051243,40.7408492,0
649570,-73.9890116,40.7187947,0
225339,-73.7738282,40.6596509,0
653526,-73.7611749,40.6864528,0
863185,-73.9560828,40.7788145,0
594715,-74.0014487,40.6768371,0
895973,-73.9549062,40.6234548,0
288270,-73.7261217,40.7522009,0
216324,-73.9571859,40.6131655,0
340318,-73.9388732,40.7233371,0
513486,-73.7676802,40.726176,0
860026,-74.0198747,40.6423828,0
967094,-73.9862022,40.767242,0
391302,-73.9596347,40.5779945,0
777224,-73.9731055,40.5830596,0
972806,-73.8117233,40.666692,1
512586,-73.755263,40.6663952,0
677277,-73.9244179,40.7524046,2
283833,-73.8172037,40.7406164,0
895081,-74.0004462,40.6862336,0
529936,-73.9761722,40.7967215,0
849661,-73.94597,40.6219935,0
